Date,Open,High,Low,Close,Adj Close,Volume
2023-12-06,194.4499969482422,194.759994506836,192.1100006103516,192.32000732421875,192.07492065429688,41089700
2023-12-07,193.6300048828125,195.0,193.58999633789065,194.2700042724609,194.02243041992188,47477700
2023-12-08,194.1999969482422,195.9900054931641,193.6699981689453,195.7100067138672,195.4605865478516,53377300
2023-12-11,193.1100006103516,193.4900054931641,191.4199981689453,193.17999267578125,192.93380737304688,60943700
2023-12-12,193.0800018310547,194.72000122070312,191.72000122070312,194.7100067138672,194.4618682861328,52696900
2023-12-13,195.08999633789065,198.0,194.8500061035156,197.9600067138672,197.7077178955078,70404200
2023-12-14,198.0200042724609,199.6199951171875,196.16000366210932,198.1100006103516,197.85752868652344,66831600
2023-12-15,197.52999877929688,198.3999938964844,197.0,197.57000732421875,197.31822204589844,128256700
2023-12-18,196.08999633789065,196.6300048828125,194.38999938964844,195.88999938964844,195.64035034179688,55751900
2023-12-19,196.16000366210932,196.9499969482422,195.88999938964844,196.94000244140625,196.68902587890625,40714100
2023-12-20,196.8999938964844,197.67999267578125,194.8300018310547,194.8300018310547,194.5817108154297,52242800
2023-12-21,196.1000061035156,197.0800018310547,193.5,194.67999267578125,194.431884765625,46482500
2023-12-22,195.17999267578125,195.41000366210932,192.97000122070312,193.6000061035156,193.3532867431641,37122800
2023-12-26,193.6100006103516,193.88999938964844,192.8300018310547,193.0500030517578,192.80398559570312,28919300
2023-12-27,192.4900054931641,193.5,191.08999633789065,193.1499938964844,192.9038391113281,48087700
2023-12-28,194.13999938964844,194.66000366210932,193.1699981689453,193.5800018310547,193.3332977294922,34049900
2023-12-29,193.8999938964844,194.3999938964844,191.72999572753903,192.52999877929688,192.28463745117188,42628800
2024-01-02,187.1499938964844,188.44000244140625,183.88999938964844,185.63999938964844,185.4034118652344,82488700
2024-01-03,184.22000122070312,185.8800048828125,183.42999267578125,184.25,184.01519775390625,58414500
2024-01-04,182.1499938964844,183.08999633789065,180.8800048828125,181.91000366210932,181.6781768798828,71983600
2024-01-05,181.9900054931641,182.759994506836,180.1699981689453,181.17999267578125,180.9490966796875,62303300
2024-01-08,182.08999633789065,185.6000061035156,181.5,185.5599975585937,185.32351684570312,59144500
2024-01-09,183.9199981689453,185.1499938964844,182.72999572753903,185.13999938964844,184.904052734375,42841800
2024-01-10,184.3500061035156,186.3999938964844,183.9199981689453,186.19000244140625,185.9527130126953,46792900
2024-01-11,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789065,185.35348510742188,49128400
2024-01-12,186.0599975585937,186.7400054931641,185.19000244140625,185.9199981689453,185.6830596923828,40444700
2024-01-16,182.16000366210932,184.259994506836,180.92999267578125,183.6300048828125,183.3959808349609,65603000
2024-01-17,181.2700042724609,182.92999267578125,180.3000030517578,182.67999267578125,182.4471893310547,47317400
2024-01-18,186.08999633789065,189.13999938964844,185.8300018310547,188.6300048828125,188.38961791992188,78005800
2024-01-19,189.3300018310547,191.9499969482422,188.82000732421875,191.5599975585937,191.3158721923828,68741000
2024-01-22,192.3000030517578,195.3300018310547,192.259994506836,193.88999938964844,193.6428985595703,60133900
2024-01-23,195.0200042724609,195.75,193.8300018310547,195.17999267578125,194.93125915527344,42355600
2024-01-24,195.4199981689453,196.3800048828125,194.33999633789065,194.5,194.2521209716797,53631300
2024-01-25,195.22000122070312,196.2700042724609,193.1100006103516,194.1699981689453,193.92254638671875,54822100
2024-01-26,194.2700042724609,194.759994506836,191.94000244140625,192.4199981689453,192.17477416992188,44594000
2024-01-29,192.009994506836,192.1999969482422,189.5800018310547,191.72999572753903,191.48565673828125,47145600
2024-01-30,190.94000244140625,191.8000030517578,187.47000122070312,188.0399932861328,187.80035400390625,55859400
2024-01-31,187.0399932861328,187.1000061035156,184.3500061035156,184.3999938964844,184.1649932861328,55467800
2024-02-01,183.9900054931641,186.9499969482422,183.82000732421875,186.8600006103516,186.6218719482422,64885400
2024-02-02,179.86000061035156,187.3300018310547,179.25,185.8500061035156,185.6131591796875,102518000
2024-02-05,188.1499938964844,189.25,185.83999633789065,187.67999267578125,187.44081115722656,69668800
2024-02-06,186.8600006103516,189.3099975585937,186.7700042724609,189.3000030517578,189.0587615966797,43490800
2024-02-07,190.63999938964844,191.0500030517578,188.6100006103516,189.41000366210932,189.1686248779297,53439000
2024-02-08,189.38999938964844,189.5399932861328,187.3500061035156,188.32000732421875,188.0800170898437,40962000
2024-02-09,188.6499938964844,189.9900054931641,188.0,188.8500061035156,188.8500061035156,45155200
2024-02-12,188.4199981689453,188.6699981689453,186.7899932861328,187.1499938964844,187.1499938964844,41781900
2024-02-13,185.7700042724609,186.2100067138672,183.509994506836,185.0399932861328,185.0399932861328,56529500
2024-02-14,185.32000732421875,185.52999877929688,182.44000244140625,184.1499938964844,184.1499938964844,54630500
2024-02-15,183.5500030517578,184.4900054931641,181.3500061035156,183.8600006103516,183.8600006103516,65434500
2024-02-16,183.4199981689453,184.8500061035156,181.6699981689453,182.3099975585937,182.3099975585937,49701400
2024-02-20,181.7899932861328,182.42999267578125,180.0,181.5599975585937,181.5599975585937,53665600
2024-02-21,181.94000244140625,182.88999938964844,180.66000366210932,182.32000732421875,182.32000732421875,41529700
2024-02-22,183.47999572753903,184.9600067138672,182.4600067138672,184.3699951171875,184.3699951171875,52292200
2024-02-23,185.009994506836,185.0399932861328,182.22999572753903,182.5200042724609,182.5200042724609,45119700
2024-02-26,182.2400054931641,182.759994506836,180.6499938964844,181.16000366210932,181.16000366210932,40867400
2024-02-27,181.1000061035156,183.9199981689453,179.55999755859375,182.6300048828125,182.6300048828125,54318900
2024-02-28,182.509994506836,183.1199951171875,180.1300048828125,181.4199981689453,181.4199981689453,48953900
2024-02-29,181.2700042724609,182.57000732421875,179.52999877929688,180.75,180.75,136682600
2024-03-01,179.5500030517578,180.52999877929688,177.3800048828125,179.66000366210938,179.66000366210938,73488000
2024-03-04,176.14999389648438,176.89999389648438,173.7899932861328,175.10000610351562,175.10000610351562,81510100
2024-03-05,170.75999450683594,172.0399932861328,169.6199951171875,170.1199951171875,170.1199951171875,95132400
2024-03-06,171.05999755859375,171.24000549316406,168.67999267578125,169.1199951171875,169.1199951171875,68587700
2024-03-07,169.14999389648438,170.72999572753906,168.49000549316406,169.0,169.0,71765100
2024-03-08,169.0,173.6999969482422,168.94000244140625,170.72999572753906,170.72999572753906,76114600
2024-03-11,172.94000244140625,174.3800048828125,172.0500030517578,172.75,172.75,60139500
2024-03-12,173.14999389648438,174.02999877929688,171.00999450683594,173.22999572753906,173.22999572753906,59825400
2024-03-13,172.77000427246094,173.19000244140625,170.75999450683594,171.1300048828125,171.1300048828125,52488700
2024-03-14,172.91000366210938,174.30999755859375,172.0500030517578,173.0,173.0,72841700
2024-03-15,171.1699981689453,172.6199951171875,170.2899932861328,172.6199951171875,172.6199951171875,121664700
2024-03-18,175.57000732421875,177.7100067138672,173.52000427246094,173.72000122070312,173.72000122070312,75517100
2024-03-19,174.33999633789062,176.61000061035156,173.02999877929688,176.0800018310547,176.0800018310547,55215200
2024-03-20,175.72000122070312,178.6699981689453,175.08999633789062,178.6699981689453,178.6699981689453,53423100
2024-03-21,177.0500030517578,177.49000549316406,170.83999633789062,171.3699951171875,171.3699951171875,105906200
